time,price,new_build,volume
2005-03,151723,10654,70643
2005-04,153880,11611,85573
2005-05,155533,11461,86324
2005-06,156767,17500,94473
2005-07,158786,11692,106079
2005-08,159431,11221,103392
2005-09,159183,13218,103906
2005-10,158865,11917,96385
2005-11,159337,12678,98931
2005-12,160209,19889,102332
2006-01,159970,8730,79652
2006-02,160231,10353,79705
2006-03,161531,14842,104022
2006-04,165042,12173,98197
2006-05,166606,13709,108179
2006-06,168184,21097,125156
2006-07,170604,12275,122151
2006-08,172037,12291,129195
2006-09,172738,13685,123528
2006-10,173750,12608,120748
2006-11,174644,13520,121759
2006-12,176819,20413,121587
2007-01,176758,8313,93224
2007-02,177261,8524,90488
2007-03,178636,12960,110115
2007-04,182243,10156,101898
2007-05,184330,11607,114327
2007-06,186348,17444,128155
2007-07,188691,9343,125412
2007-08,189786,8832,136069
2007-09,190032,8468,106217
2007-10,189589,9350,109896
2007-11,189489,9704,108522
2007-12,189193,12888,82172
2008-01,185782,5169,62492
2008-02,184185,6025,65658
2008-03,182845,8533,60714
2008-04,183148,9040,65404
2008-05,184267,9057,68773
2008-06,181831,12195,58272
2008-07,179845,6997,55376
2008-08,176092,6340,51333
2008-09,171660,6790,42693
2008-10,168177,6926,46479
2008-11,163447,6481,36563
2008-12,160954,9347,37026
2009-01,157234,3702,27720
2009-02,155417,4233,27655
2009-03,154452,6551,35427
2009-04,155852,5590,39789
2009-05,158004,6210,46091
2009-06,159561,9565,51164
2009-07,162423,6774,64562
2009-08,164025,5915,60053
2009-09,165314,6690,59566
2009-10,166425,6908,67508
2009-11,166986,7003,62157
2009-12,168082,10292,76910
2010-01,167469,3698,37387
2010-02,167888,4642,42706
2010-03,167878,6386,51661
2010-04,170028,5484,54071
2010-05,170846,5994,53101
2010-06,171689,8931,62006
2010-07,173427,5384,70619
2010-08,173417,5102,64021
2010-09,172972,6178,58708
2010-10,171045,5624,61102
2010-11,169013,5699,57866
2010-12,168703,7683,55858
2011-01,167300,3219,39180
2011-02,166415,3678,40529
2011-03,165649,5857,47032
2011-04,168218,5330,52119
2011-05,167470,5179,50512
2011-06,167753,9155,56135
2011-07,169866,5283,65033
2011-08,169968,5220,66924
2011-09,169544,6507,65304
2011-10,167673,5458,59717
2011-11,167757,6395,61403
2011-12,167048,9184,61586
2012-01,165908,3783,45711
2012-02,165457,4324,45776
2012-03,165947,8340,61113
2012-04,167854,4900,45194
2012-05,168395,6069,53731
2012-06,170049,10255,58313
2012-07,170701,4827,61804
2012-08,170902,5860,68061
2012-09,170295,6276,53767
2012-10,169090,5991,60851
2012-11,169227,6729,65564
2012-12,168843,9184,54611
2013-01,167716,3777,45352
2013-02,167682,4435,46213
2013-03,168681,7495,54698
2013-04,170335,5810,52711
2013-05,171234,7147,68237
2013-06,172655,11755,63474
2013-07,174592,5740,77146
2013-08,175982,7274,82421
2013-09,176098,7828,71389
2013-10,175378,7570,80852
2013-11,176352,8709,86999
2013-12,177971,12186,78354
2014-01,178182,5292,70248
2014-02,178921,6376,68045
2014-03,179537,8565,69724
2014-04,183532,7597,74451
2014-05,185476,8667,82072
2014-06,187077,13801,80193
2014-07,189709,7417,89871
2014-08,191932,7990,93690
2014-09,192138,8653,82259
2014-10,191855,8861,91323
2014-11,191209,8266,77876
2014-12,191669,12377,76540
2015-01,190665,5118,61701
2015-02,190827,5872,61198
2015-03,191537,9335,68334
2015-04,193225,8538,66702
2015-05,195313,9851,76293
2015-06,196802,15563,81416
2015-07,200142,8891,97325
2015-08,201973,8607,87926
2015-09,202389,9844,84710
2015-10,202664,9427,95028
2015-11,204223,8374,85484
2015-12,204920,11657,82744
2016-01,205464,5198,65743
2016-02,205555,5961,69928
2016-03,207667,10737,127369
2016-04,208443,8583,55271
2016-05,210872,8664,63510
2016-06,212887,14440,74035
2016-07,215127,8412,84802
2016-08,215145,8695,85712
2016-09,214816,10247,81473
2016-10,214107,9631,75665
2016-11,215113,10138,78695
2016-12,215500,15207,79478
2017-01,215243,6159,62504
2017-02,215697,7128,64304
2017-03,215236,11687,77701
2017-04,218642,8723,67257
2017-05,219954,10081,73590
2017-06,221833,16341,85599
2017-07,224719,8443,83813
2017-08,225738,8635,90302
2017-09,224895,10703,83583
2017-10,225092,10121,82707
2017-11,224453,10712,81523
2017-12,225330,15176,76438
2018-01,224544,6607,61636
2018-02,225131,7927,61073
2018-03,223772,11603,70248
2018-04,225910,8934,62930
2018-05,226834,9935,71652
2018-06,228355,17798,78223
2018-07,231187,8718,80506
2018-08,231898,9543,92458
2018-09,231454,10354,73248
2018-10,231211,10698,81938
2018-11,230224,11445,87582
2018-12,229729,15405,68432
2019-01,228314,6154,59442
2019-02,227738,7317,60438
2019-03,227104,11662,67292
2019-04,228749,9290,64271
2019-05,229061,10249,72177
2019-06,230049,16650,67637
2019-07,232618,8988,80189
2019-08,233366,9927,85848
2019-09,233536,10751,73275
2019-10,232919,10359,80267
2019-11,232096,11606,81834
2019-12,231792,15476,69483
2020-01,231940,6339,62246
2020-02,230609,7152,60311
2020-03,232684,9457,59744
2020-04,230318,3133,25223
2020-05,231508,2818,33562
2020-06,234703,5538,47898
2020-07,236687,6569,57412
2020-08,238998,7102,60642
2020-09,241541,7689,70419
2020-10,243575,8315,89591
2020-11,246065,7472,88781
2020-12,247983,9158,95449
2021-01,249690,4369,73920
2021-02,249586,5432,90649
2021-03,253506,8574,127092
2021-04,250210,4967,82644
2021-05,251285,5005,73513
2021-06,265676,9216,156074
2021-07,252960,3943,60085
2021-08,260429,5095,75760
2021-09,269003,6717,122554
2021-10,263333,4393,59862
2021-11,267370,5341,70973
2021-12,268115,7660,73441
2022-01,272738,3029,60810
2022-02,272454,3778,66723
2022-03,273787,5272,73930
2022-04,276917,4967,67947
2022-05,280433,4793,69015
2022-06,282777,7348,67532
2022-07,288156,4687,78573
2022-08,290541,4861,81370
2022-09,291716,6056,79856
2022-10,291233,4943,76880
2022-11,291518,4284,77804
2022-12,289728,4358,67715
2023-01,286321,1369,51358
2023-02,284152,1450,50356
2023-03,281555,1989,57936
